***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,herbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,42.1,,,,,,System Temp (C):,41.74,,,,,,,
Humidity (%):,21,,,,,,Humidity (%):,21.08,,,,,,,
Lamp Indicator:,1124,,,,,,Lamp Indicator:,1129,,,,,,,
Data Date-Time:,2023/11/10T15:53:10,,,,,,Data Date-Time:,2023/11/10T15:50:16,,,,,,,
Total Measurement Time in sec:,6.7314779,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.08535400046452,0.0413457073195706,-8.39863846568903E-05,,,,,
Serial Number:,B07R011,(95UB122GC0AB07R011),,,,,Pixel to Wavelength Coefficients:,1794.37724621797,-0.920219689099738,-0.000237242138379873,,,,,
GUI Version:,3.9.4,Revision:,526,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 15min 13sec ,,,,,,,
UUID:,DE:67:0C:88:67:2B:47:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Reflectance (unitless)
901.81429527209,0.297928769891387
905.716563509274,0.302958416220759
909.614561387966,0.305754405286344
913.508288908168,0.30592363410036
917.397746069878,0.308861445486345
921.282932873098,0.311914868442459
925.163849317827,0.313925205229553
929.040495404065,0.315860925984696
932.912871131812,0.318327209283883
938.069395988934,0.321882522644037
941.931807546869,0.32509347645351
945.789948746314,0.326823167606356
949.643819587268,0.328915629785791
953.493420069731,0.333317184064398
957.338750193702,0.334152448236819
961.179809959184,0.338011526682582
965.016599366174,0.340872299617401
968.849118414673,0.342927811442613
973.952501032798,0.346620386496959
977.775055911486,0.34856388661932
981.593340431682,0.352140015353585
985.407354593388,0.355184910398356
989.217098396603,0.357344466987486
993.022571841327,0.360759980231728
996.823774927561,0.362930131748776
1000.6207076553,0.365992155274406
1004.41337002455,0.368803137585218
1008.20176203532,0.371128749957613
1013.24630860312,0.374849810470503
1017.02473644407,0.377869147350568
1020.79889392653,0.380657357218318
1024.5687810505,0.383517489525665
1028.33439781597,0.386496984773488
1032.09574422296,0.389248171817332
1035.85282027145,0.391333523120094
1039.60562596146,0.394212452535549
1043.35416129297,0.396691736203071
1048.34556562178,0.400702517652093
1052.08413678348,0.402623026039078
1055.81843758669,0.40596196283021
1059.54846803141,0.408539946309547
1063.27422811764,0.410589420783428
1066.99571784538,0.412380488724967
1070.71293721462,0.4161033655438
1074.42588622538,0.416784971441778
1078.13456487764,0.42044392434593
1081.83897317142,0.421673565490085
1086.77154144991,0.42557092974253
1090.46598557387,0.427593447921551
1094.15615933934,0.429666682365422
1097.84206274632,0.432220973672019
1101.52369579481,0.433874800739343
1105.20105848481,0.435520849995395
1108.87415081632,0.438291207760151
1112.54297278934,0.439561461667247
1116.20752440387,0.440782712847008
1121.08695044336,0.443290287665737
1124.74153788807,0.444834729352427
1128.3918549743,0.446903979145867
1132.03790170203,0.448127585825103
1135.67967807127,0.449565746009467
1139.31718408202,0.451670941485512
1142.95041973428,0.452235130629341
1146.57938502805,0.453900402744888
1150.20407996333,0.454769951166159
1153.82450454012,0.455755798003672
1158.6450945293,0.457019563909462
1162.25555493627,0.458114721844207
1165.86174498476,0.45901579690046
1169.46366467475,0.460474477817075
1173.06131400625,0.461511359207631
1176.65469297927,0.462705938957481
1180.24380159379,0.463163498419227
1183.82863984982,0.464856988829785
1187.40920774736,0.465193922096925
1192.17665549754,0.467533224527862
1195.74725922527,0.468495608565764
1199.3135925945,0.470353215712619
1202.87565560525,0.471600064804637
1206.43344825751,0.472948523403759
1209.98697055127,0.474115675988213
1213.53622248654,0.476127544192666
1217.08120406333,0.477672445949654
1220.62191528162,0.479482544803158
1224.15835614142,0.481425809577569
1228.86696784128,0.483380341920655
1232.39344453127,0.484687834252617
1235.91565086277,0.486356709773356
1239.43358683578,0.488361002562144
1242.94725245029,0.490068972358452
1246.45664770632,0.491692665848982
1249.96177260386,0.493057021123362
1253.4626271429,0.494114012909497
1256.95921132345,0.495702604864718
1261.61468078432,0.497219611977585
1265.10130079506,0.498515466373257
1268.58365044731,0.499674175608112
1272.06172974107,0.501035029519571
1275.53553867634,0.502098591685461
1279.00507725312,0.503521643534235
1282.4703454714,0.504641189364338
1285.9313433312,0.505743066298006
