***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,30.52,,,,,,System Temp (C):,27.93,,,,,,,
Humidity (%):,51.69,,,,,,Humidity (%):,52.39,,,,,,,
Lamp ADC:,3079,3079,830,849,,,Lamp ADC:,3079,3079,830,849,,,,
Data Date-Time:,2025/11/05T15:50:00,,,,,,Data Date-Time:,2025/11/05T15:47:29,,,,,,,
Total Measurement Time in sec:,6.489644,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.74589567087503,0.0468271937173058,-9.53581739805986E-05,,,,,
Serial Number:,C23R002,(95UB125GC0VC23R002),,,,,Pixel to Wavelength Coefficients:,1756.1983651918,-0.919335509971685,-0.000241825006214287,,,,,
GUI Version:,3.13.2,Revision:,1227,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 39min 0sec ,,,,,,,
UUID:,DE:67:0C:88:67:76:74:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000101,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU)
901.701099874012,-0.000340927349669374
905.577788882674,-0.00194682185832591
909.450125041225,-0.00123019012297472
913.318108349663,0.000398920963184292
917.18173880799,0.000212148708686719
921.041016416205,0.000224254879599365
926.179948793651,0.0028603588202281
930.029069751605,0.00303223675452514
933.873837859447,0.00138316432073356
937.714253117177,0.0002913277734815
941.550315524795,-0.000566626759480878
945.382025082302,-0.00135841650752631
949.209381789697,-0.00198178789465012
954.305752966049,-0.00257320198971659
958.122953023182,-0.00252845263418308
961.935800230204,-0.00283963999367753
965.744294587114,-0.00298637215529305
969.548436093912,-0.00284710742701409
973.348224750598,-0.0028498377130773
977.143660557173,-0.00256082262910706
982.197470532431,-0.00304211142082753
985.982749688744,-0.00290976485220174
989.763675994946,-0.00287833479798858
993.540249451036,-0.0030989681307059
997.312470057013,-0.00296040287027434
1001.08033781288,-0.00337238690146564
1004.84385271863,-0.00332511602686975
1009.8551014928,-0.00342321273136315
1013.60845974829,-0.00366863820224746
1017.35746515367,-0.00352286076390001
1021.10211770894,-0.00396689358311591
1024.8424174141,-0.00380637649435843
1028.57836426914,-0.00394400420904753
1032.30995827408,-0.00399262896335694
1037.27864584715,-0.00388461317564048
1041.00008320182,-0.00378641101112041
1044.71716770638,-0.00417806208519871
1048.42989936083,-0.00380106335781855
1052.13827816517,-0.00415341967051031
1055.8423041194,-0.00393003709569234
1059.54197722351,-0.00367403615598796
1064.46810359549,-0.00408339258369442
1068.15762004934,-0.00419333713293529
1071.84278365308,-0.00374421541516561
1075.52359440671,-0.00358393879727396
1079.20005231022,-0.0037302560371138
1082.87215736363,-0.00383962442074678
1086.53990956692,-0.00367152141809929
1091.42347473781,-0.00357611184513433
1095.08107029084,-0.00338481810524918
1098.73431299376,-0.00371945836920674
1102.38320284657,-0.00356535080316485
1106.02773984926,-0.00373635869927438
1109.66792400185,-0.00350546668380747
1113.30375530432,-0.00372496500143058
1118.14475927411,-0.00362734643397378
1121.77043392632,-0.00366286239180881
1125.39175572842,-0.00334442416110563
1129.00872468041,-0.00375756965717953
1132.62134078229,-0.00365170063413251
1136.22960403405,-0.00384913124869171
1139.83351443571,-0.00360220064691099
1144.6319572044,-0.00394517536702238
1148.22571095579,-0.00387904868589255
1151.81511185707,-0.00384881802783387
1155.40015990824,-0.00376876253040553
1158.9808551093,-0.00389132259934093
1162.55719746024,-0.00371511659772598
1166.12918696107,-0.0037533321614855
1170.88506852868,-0.00362143895559481
1174.44690137925,-0.00381102598293778
1178.00438137971,-0.00388554687203459
1181.55750853005,-0.00375139121708384
1185.10628283029,-0.00398590438080273
1188.65070428041,-0.00389163251838216
1192.19077288043,-0.00389025616650795
1196.90409324693,-0.00369475194253407
1200.43400519669,-0.00378831659395707
1203.95956429632,-0.00380194450703726
1207.48077054585,-0.00395529227250218
1210.99762394527,-0.00356803890379154
1214.51012449457,-0.00382365760048068
1218.01827219376,-0.00388259327185138
1222.68903135918,-0.00375244180414737
1226.18702240811,-0.00362731629620577
1229.68066060693,-0.00358945743377189
1233.16994595564,-0.0037192408685063
1236.65487845423,-0.00370780920370771
1240.13545810271,-0.00362546493609431
1243.61168490109,-0.00368709438995549
1248.23988286541,-0.00352120914537913
