***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,30.77,,,,,,System Temp (C):,27.93,,,,,,,
Humidity (%):,51.66,,,,,,Humidity (%):,52.39,,,,,,,
Lamp ADC:,3079,3079,830,849,,,Lamp ADC:,3079,3079,830,849,,,,
Data Date-Time:,2025/11/05T15:50:11,,,,,,Data Date-Time:,2025/11/05T15:47:29,,,,,,,
Total Measurement Time in sec:,6.4817466,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.74589567087503,0.0468271937173058,-9.53581739805986E-05,,,,,
Serial Number:,C23R002,(95UB125GC0VC23R002),,,,,Pixel to Wavelength Coefficients:,1756.1983651918,-0.919335509971685,-0.000241825006214287,,,,,
GUI Version:,3.13.2,Revision:,1227,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,1hr 39min 5sec ,,,,,,,
UUID:,DE:67:0C:88:67:76:74:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000101,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Reflectance (unitless)
901.701099874012,1.00030730008422
905.577788882674,1.00110752384833
909.450125041225,0.999324611169002
913.318108349663,0.996821865564913
917.18173880799,0.997526119851087
921.041016416205,0.993668980153723
926.179948793651,0.98930374217347
930.029069751605,0.989844268081374
933.873837859447,0.992802379093856
937.714253117177,0.995056100981767
941.550315524795,0.997241548661701
945.382025082302,0.999267211799053
949.209381789697,1.00064543171592
954.305752966049,1.00176233812924
958.122953023182,1.00254090169609
961.935800230204,1.00266166736101
965.744294587114,1.0036121831714
969.548436093912,1.0019822255242
973.348224750598,1.00232737140893
977.143660557173,1.00173502980692
982.197470532431,1.00314075590977
985.982749688744,1.00237776996131
989.763675994946,1.00235811979249
993.540249451036,1.0026702161333
997.312470057013,1.0031740377535
1001.08033781288,1.0034948662612
1004.84385271863,1.00344480200762
1009.8551014928,1.0036999944361
1013.60845974829,1.00417035226858
1017.35746515367,1.00408470066957
1021.10211770894,1.00428897390588
1024.8424174141,1.00421806624988
1028.57836426914,1.00502717522469
1032.30995827408,1.00486522182866
1037.27864584715,1.00509798206867
1041.00008320182,1.00427020386243
1044.71716770638,1.00457874590211
1048.42989936083,1.00466319287117
1052.13827816517,1.00466356233103
1055.8423041194,1.00470673085929
1059.54197722351,1.00405909218007
1064.46810359549,1.00482211620022
1068.15762004934,1.00503718587355
1071.84278365308,1.00451968691533
1075.52359440671,1.00415733479353
1079.20005231022,1.00488441708059
1082.87215736363,1.00452881413652
1086.53990956692,1.00401466059587
1091.42347473781,1.00458041513397
1095.08107029084,1.00409598036552
1098.73431299376,1.00425631049867
1102.38320284657,1.00411241051057
1106.02773984926,1.00425369934257
1109.66792400185,1.00406465252677
1113.30375530432,1.00446340145854
1118.14475927411,1.00368550913722
1121.77043392632,1.00400318849682
1125.39175572842,1.00414206321639
1129.00872468041,1.00441243379203
1132.62134078229,1.00404064387427
1136.22960403405,1.00412327934799
1139.83351443571,1.00437239658237
1144.6319572044,1.00477032629113
1148.22571095579,1.00482480662561
1151.81511185707,1.00491020822147
1155.40015990824,1.00362890470736
1158.9808551093,1.00469541939206
1162.55719746024,1.00470348826048
1166.12918696107,1.00422302594443
1170.88506852868,1.00396118933025
1174.44690137925,1.00460036951057
1178.00438137971,1.00505217959967
1181.55750853005,1.00463661713573
1185.10628283029,1.00472735346995
1188.65070428041,1.00509972881692
1192.19077288043,1.00471317818612
1196.90409324693,1.00448875058519
1200.43400519669,1.00488938885192
1203.95956429632,1.00477310110296
1207.48077054585,1.00449392282082
1210.99762394527,1.00427085983471
1214.51012449457,1.00416607182256
1218.01827219376,1.00409890594317
1222.68903135918,1.00458751079391
1226.18702240811,1.0038024179318
1229.68066060693,1.00438601234387
1233.16994595564,1.003917850343
1236.65487845423,1.00430890864601
1240.13545810271,1.00450219385305
1243.61168490109,1.00475879402873
1248.23988286541,1.00452093338737
1251.70595301352,1.00433959073709
1255.16767031152,1.00431980927051
1258.6250347594,1.00421495872012
1262.07804635718,1.00439013501112
1265.52670510484,1.00413562443557
1268.97101100239,1.00462842489889
1273.55664776562,1.00448908072308
1276.99079701291,1.0046458997342
1280.42059341009,1.00405773524763
1283.84603695715,1.00453655664861
1287.26712765411,1.00453436782552
